PlayerName,Player,Runs,Mins,BF,Fours,Sixes,SR,MB_Clust,Uncertainty,X,Y,Clust_KM,X_KM,Y_KM,Clust_PAM,X_PAM,Y_PAM,Clust_clara,X_Clara,Y_Clara
MG Bevan,4144,6856,12536,9264,447,21,74,1,3.21964677141295e-13,-4.7852526673979,0.996557390489078,3,-4.7852526673979,0.996557390489078,1,-4.7852526673979,0.996557390489078,1,-4.7852526673979,0.996557390489078
AJ Bichel,4146,448,712,581,33,9,77,2,2.45038231730943e-05,0.813429345240946,0.177641510911914,3,0.813429345240946,0.177641510911914,1,0.813429345240946,0.177641510911914,1,0.813429345240946,0.177641510911914
GS Blewett,4161,551,1181,889,35,3,61,7,0.00212976414801991,0.871854621676073,1.01318368249396,3,0.871854621676073,1.01318368249396,1,0.871854621676073,1.01318368249396,1,0.871854621676073,1.01318368249396
DC Boon,4169,5938,11541,9117,492,16,65,1,0,-4.39294419054944,1.41846020306672,3,-4.39294419054944,1.41846020306672,1,-4.39294419054944,1.41846020306672,1,-4.39294419054944,1.41846020306672
AR Border,4174,6463,11308,9030,496,43,71,1,3.64359653559632e-11,-4.85430063046249,0.970139800485715,3,-4.85430063046249,0.970139800485715,1,-4.85430063046249,0.970139800485715,1,-4.85430063046249,0.970139800485715
NW Bracken,4185,199,392,282,10,5,70,5,0.0489991386223977,1.12226006602865,0.515862874074892,3,1.12226006602865,0.515862874074892,1,1.12226006602865,0.515862874074892,1,1.12226006602865,0.515862874074892
JP Bray,4433,397,854,578,43,6,68,2,0.0147041393817025,0.891553245409234,0.633418200064929,3,0.891553245409234,0.633418200064929,1,0.891553245409234,0.633418200064929,1,0.891553245409234,0.633418200064929
GJ Bailey,4451,2869,4598,3421,208,54,83,4,0.0324368417390707,-1.75008141709723,-0.124944763129518,3,-1.75008141709723,-0.124944763129518,1,-1.75008141709723,-0.124944763129518,1,-1.75008141709723,-0.124944763129518
DG Brownlie,4493,361,719,486,46,1,74,2,0.00150794517299713,0.940719541268199,0.363970935566872,3,0.940719541268199,0.363970935566872,1,0.940719541268199,0.363970935566872,1,0.940719541268199,0.363970935566872
GS Chappell,4558,2248,3916,2985,186,7,75,4,0.0227853571543218,-0.747010931869047,0.490569411638948,3,-0.747010931869047,0.490569411638948,1,-0.747010931869047,0.490569411638948,1,-0.747010931869047,0.490569411638948
IM Chappell,4560,673,1104,874,74,7,77,2,0.0243413218724065,0.589501556957774,0.213797567853884,3,0.589501556957774,0.213797567853884,1,0.589501556957774,0.213797567853884,1,0.589501556957774,0.213797567853884
TM Chappell,4561,215,210,340,18,0,63,5,0.00139702697080935,1.23333937621047,0.880679452370085,3,1.23333937621047,0.880679452370085,1,1.23333937621047,0.880679452370085,1,1.23333937621047,0.880679452370085
MJ Clarke,4578,7661,12291,9723,639,49,78,1,4.50965931264591e-11,-5.83537552310428,0.670323552549967,3,-5.83537552310428,0.670323552549967,1,-5.83537552310428,0.670323552549967,1,-5.83537552310428,0.670323552549967
GJ Cosier,4629,154,209,166,15,2,92,9,1.49096729417098e-05,1.02689472011038,-0.544622621600614,3,1.02689472011038,-0.544622621600614,1,1.02689472011038,-0.544622621600614,1,1.02689472011038,-0.544622621600614
DT Christian,4864,273,480,307,23,3,88,5,0.117097928044752,0.94054299943207,-0.343059098493745,3,0.94054299943207,-0.343059098493745,1,0.94054299943207,-0.343059098493745,1,0.94054299943207,-0.343059098493745
